Country,Year,City,Gold ,Silver,Bronze,Weighted Count, Population ,"Total medals per 100,000 pop","Weighted count per 100,000 pop","Gold per 100,000 pop",GDP per capita,GDP
Taiwan,1/01/1992,Barcelona,0,1,0,2,20687000,0.0048340,0.0096679,0.0000000,15964.89," 330,265,670,845 "
Ethiopia,1/01/1992,Barcelona,1,0,2,5,51730288,0.0057993,0.0096655,0.0019331,421.35," 21,796,736,110 "
China,1/01/1992,Barcelona,16,22,16,108,1175230312,0.0045948,0.0091897,0.0013614,1877.41," 2,206,392,827,709 "
Peru,1/01/1992,Barcelona,0,1,0,2,22553275,0.0044339,0.0088679,0.0000000,4446.38," 100,280,451,732 "
Iran,1/01/1992,Barcelona,0,1,2,4,57067645,0.0052569,0.0070092,0.0000000,7045.38," 402,063,478,666 "
Nigeria,1/01/1992,Barcelona,0,3,1,7,102444773,0.0039045,0.0068329,0.0000000,1619.85," 165,944,982,922 "
Ghana,1/01/1992,Barcelona,0,0,1,1,15655847,0.0063874,0.0063874,0.0000000,925.06," 14,482,600,237 "
Indonesia,1/01/1992,Barcelona,2,2,1,11,190512441,0.0026245,0.0057739,0.0010498,2383.14," 454,017,989,744 "
Malaysia,1/01/1992,Barcelona,0,0,1,1,19204087,0.0052072,0.0052072,0.0000000,7277.91," 139,765,670,633 "
Brazil,1/01/1992,Barcelona,2,1,0,8,154582103,0.0019407,0.0051752,0.0012938,6950.28," 1,074,389,365,870 "
Argentina,1/01/1992,Barcelona,0,0,1,1,33540023,0.0029815,0.0029815,0.0000000,9308.42," 312,204,577,611 "
Colombia,1/01/1992,Barcelona,0,0,1,1,34497319,0.0028988,0.0028988,0.0000000,5444.65," 187,825,780,193 "
Mexico,1/01/1992,Barcelona,0,1,0,2,87523328,0.0011426,0.0022851,0.0000000,9472.38," 829,054,597,562 "
Thailand,1/01/1992,Barcelona,0,0,1,1,58225969,0.0017174,0.0017174,0.0000000,4616.90," 268,823,275,106 "
Philippines,1/01/1992,Barcelona,0,0,1,1,64659225,0.0015466,0.0015466,0.0000000,2279.32," 147,379,324,463 "
Pakistan,1/01/1992,Barcelona,0,0,1,1,118010303,0.0008474,0.0008474,0.0000000,1971.83," 232,696,192,471 "
Tonga,1/01/1996,Atlanta,0,1,0,2,96196,1.0395443,2.0790885,0.0000000,4540.02," 436,731,995 "
Bahamas,1/01/1996,Atlanta,0,1,0,2,283677,0.3525136,0.7050272,0.0000000,20329.14," 5,766,909,421 "
Cuba,1/01/1996,Atlanta,9,8,8,51,10949206,0.2283271,0.4657872,0.0821977,5277.62," 57,785,720,993 "
Jamaica,1/01/1996,Atlanta,1,3,2,11,2484672,0.2414806,0.4427144,0.0402468,7316.26," 18,178,501,576 "
Hungary,1/01/1996,Atlanta,7,4,10,39,10313993,0.2036069,0.3781271,0.0678690,11169.79," 115,205,094,383 "
New Zealand,1/01/1996,Atlanta,3,2,1,14,3717342,0.1614056,0.3766132,0.0807028,21064.07," 78,302,337,377 "
Australia,1/01/1996,Atlanta,9,9,23,68,18319637,0.2238036,0.3711864,0.0491276,26151.13," 479,079,254,000 "
Bulgaria,1/01/1996,Atlanta,3,7,5,28,8273011,0.1813125,0.3384499,0.0362625,6250.97," 51,714,311,096 "
Norway,1/01/1996,Atlanta,2,2,3,13,4385139,0.1596301,0.2964558,0.0456086,38794.59," 170,119,671,533 "
Denmark,1/01/1996,Atlanta,4,1,1,15,5255213,0.1141723,0.2854309,0.0761149,28655.63," 150,591,455,319 "
Ireland,1/01/1996,Atlanta,3,0,1,10,3638457,0.1099367,0.2748418,0.0824525,22144.69," 80,572,519,173 "
Switzerland,1/01/1996,Atlanta,4,3,0,18,7060963,0.0991366,0.2549227,0.0566495,31589.72," 223,053,871,005 "
Namibia,1/01/1996,Atlanta,0,2,0,4,1700975,0.1175796,0.2351592,0.0000000,3836.63," 6,526,010,407 "
Belarus,1/01/1996,Atlanta,1,6,8,23,10244354,0.1464221,0.2245139,0.0097615,4475.41," 45,847,639,302 "
Czech Republic,1/01/1996,Atlanta,4,3,4,22,10310016,0.1066924,0.2133847,0.0387972,16137.21," 166,374,913,870 "
Netherlands,1/01/1996,Atlanta,4,5,10,32,15517122,0.1224454,0.2062238,0.0257780,28344.59," 439,826,389,004 "
Slovenia,1/01/1996,Atlanta,0,2,0,4,1971488,0.1014462,0.2028924,0.0000000,16392.55," 32,317,706,801 "
Greece,1/01/1996,Atlanta,4,4,0,20,10754641,0.0743865,0.1859662,0.0371932,17894.05," 192,444,075,738 "
Sweden,1/01/1996,Atlanta,2,4,2,16,8847421,0.0904218,0.1808437,0.0226055,24958.58," 220,819,052,283 "
Trinidad and Tobago,1/01/1996,Atlanta,0,0,2,2,1268851,0.1576229,0.1576229,0.0000000,8449.63," 10,721,326,913 "
Armenia,1/01/1996,Atlanta,1,1,0,5,3172185,0.0630480,0.1576201,0.0315240,1731.63," 5,493,061,106 "
Finland,1/01/1996,Atlanta,1,2,1,8,5125177,0.0780461,0.1560922,0.0195115,22402.50," 114,816,758,683 "
Romania,1/01/1996,Atlanta,4,7,9,35,22567385,0.0886235,0.1550911,0.0177247,7801.29," 176,054,685,299 "
Germany,1/01/1996,Atlanta,20,18,27,123,82200333,0.0790751,0.1496344,0.0243308,27336.47," 2,247,066,611,352 "
Kazakhstan,1/01/1996,Atlanta,3,4,4,21,15712544,0.0700078,0.1336512,0.0190930,4567.93," 71,773,763,957 "
Canada,1/01/1996,Atlanta,3,11,8,39,29582222,0.0743690,0.1318359,0.0101412,28074.84," 830,516,045,756 "
France,1/01/1996,Atlanta,15,7,15,74,58057570,0.0637298,0.1274597,0.0258364,25717.20," 1,493,078,044,359 "
Italy,1/01/1996,Atlanta,13,10,12,71,56938342,0.0614700,0.1246963,0.0228317,23897.55," 1,360,687,083,566 "
South Korea,1/01/1996,Atlanta,7,15,5,56,44949627,0.0600672,0.1245839,0.0155730,14574.12," 655,101,259,481 "
Belgium,1/01/1996,Atlanta,2,2,2,12,10098192,0.0594166,0.1188332,0.0198055,26725.50," 269,879,213,845 "
Slovakia,1/01/1996,Atlanta,1,1,1,6,5380807,0.0557537,0.1115074,0.0185846,11482.63," 61,785,802,662 "
Croatia,1/01/1996,Atlanta,1,1,0,5,4656706,0.0429488,0.1073720,0.0214744,9176.84," 42,733,868,704 "
Poland,1/01/1996,Atlanta,7,5,5,36,38398942,0.0442721,0.0937526,0.0182297,9518.90," 365,515,802,706 "
Russia,1/01/1996,Atlanta,26,21,16,136,148456965,0.0424365,0.0916090,0.0175135,7577.53," 1,124,937,446,663 "
Ukraine,1/01/1996,Atlanta,9,2,12,43,50773323,0.0452994,0.0846901,0.0177258,3548.69," 180,178,760,440 "
Costa Rica,1/01/1996,Atlanta,1,0,0,3,3557095,0.0281128,0.0843385,0.0281128,6444.68," 22,924,348,765 "
Spain,1/01/1996,Atlanta,5,6,6,33,39519508,0.0430167,0.0835031,0.0126520,19709.87," 778,924,410,232 "
United States,1/01/1996,Atlanta,44,32,25,221,269393632,0.0374916,0.0820361,0.0163330,35807.00," 9,646,176,916,007 "
Latvia,1/01/1996,Atlanta,0,1,0,2,2462617,0.0406072,0.0812144,0.0000000,6488.44," 15,978,547,773 "
Moldova,1/01/1996,Atlanta,0,1,1,3,4307683,0.0464287,0.0696430,0.0000000,1797.92," 7,744,890,916 "
Austria,1/01/1996,Atlanta,0,1,2,4,7960464,0.0376862,0.0502483,0.0000000,28602.35," 227,687,997,736 "
Kenya,1/01/1996,Atlanta,1,4,3,14,28191597,0.0283773,0.0496602,0.0035472,1361.07," 38,370,608,140 "
Burundi,1/01/1996,Atlanta,1,0,0,3,6140258,0.0162860,0.0488579,0.0162860,462.85," 2,841,999,764 "
Hong Kong,1/01/1996,Atlanta,1,0,0,3,6268283,0.0159533,0.0478600,0.0159533,27448.74," 172,056,468,447 "
North Korea,1/01/1996,Atlanta,2,1,2,10,22038893,0.0226872,0.0453743,0.0090749,1808.77," 39,863,300,868 "
Mongolia,1/01/1996,Atlanta,0,0,1,1,2325369,0.0430039,0.0430039,0.0000000,1841.20," 4,281,473,852 "
Britain,1/01/1996,Atlanta,1,8,6,25,58156871,0.0257923,0.0429872,0.0017195,25328.77," 1,473,042,077,208 "
Georgia,1/01/1996,Atlanta,0,0,2,2,4992336,0.0400614,0.0400614,0.0000000,1861.57," 9,293,575,711 "
Portugal,1/01/1996,Atlanta,1,0,1,4,10169044,0.0196675,0.0393351,0.0098338,17027.45," 173,152,852,337 "
Yugoslavia,1/01/1996,Atlanta,1,1,2,7,23046512,0.0173562,0.0303734,0.0043391,-, - 
South Africa,1/01/1996,Atlanta,3,1,1,12,42175740,0.0118552,0.0284524,0.0071131,7454.42," 314,395,534,556 "
Lithuania,1/01/1996,Atlanta,0,0,1,1,3604044,0.0277466,0.0277466,0.0000000,8182.69," 29,490,772,153 "
Puerto Rico,1/01/1996,Atlanta,0,0,1,1,3732293,0.0267932,0.0267932,0.0000000,16594.09," 61,934,007,477 "
Ecuador,1/01/1996,Atlanta,1,0,0,3,11584074,0.0086325,0.0258976,0.0086325,7331.53," 84,928,967,914 "
Azerbaijan,1/01/1996,Atlanta,0,1,0,2,7845310,0.0127465,0.0254929,0.0000000,1843.19," 14,460,392,912 "
Turkey,1/01/1996,Atlanta,4,1,1,15,59821978,0.0100298,0.0250744,0.0066865,6432.18," 384,785,788,303 "
Algeria,1/01/1996,Atlanta,2,0,1,7,28786855,0.0104214,0.0243167,0.0069476,4824.21," 138,873,905,015 "
Zambia,1/01/1996,Atlanta,0,1,0,2,9161931,0.0109147,0.0218295,0.0000000,1060.55," 9,716,730,623 "
Japan,1/01/1996,Atlanta,3,6,5,26,124814986,0.0112166,0.0208308,0.0024036,28385.16," 3,542,893,156,991 "
Syria,1/01/1996,Atlanta,1,0,0,3,14518843,0.0068876,0.0206628,0.0068876,4066.08," 59,034,733,795 "
Israel,1/01/1996,Atlanta,0,0,1,1,5486774,0.0182256,0.0182256,0.0000000,20644.52," 113,271,822,646 "
Brazil,1/01/1996,Atlanta,3,3,9,24,164342524,0.0091273,0.0146036,0.0018255,7810.20," 1,283,548,146,588 "
Argentina,1/01/1996,Atlanta,0,2,1,5,35287113,0.0085017,0.0141695,0.0000000,10245.38," 361,529,981,020 "
Malaysia,1/01/1996,Atlanta,0,1,1,3,21247102,0.0094130,0.0141196,0.0000000,9644.79," 204,923,911,472 "
Uzbekistan,1/01/1996,Atlanta,0,1,1,3,23347452,0.0085662,0.0128494,0.0000000,1461.98," 34,133,410,105 "
Ethiopia,1/01/1996,Atlanta,2,0,1,7,58774378,0.0051043,0.0119100,0.0034028,512.79," 30,138,728,817 "
Tunisia,1/01/1996,Atlanta,0,0,1,1,9053410,0.0110456,0.0110456,0.0000000,4691.19," 42,471,271,055 "
Iran,1/01/1996,Atlanta,1,1,1,6,60815686,0.0049329,0.0098659,0.0016443,7835.29," 476,508,317,392 "
Nigeria,1/01/1996,Atlanta,2,1,3,11,112618306,0.0053277,0.0097675,0.0017759,1619.42," 182,376,342,520 "
Taiwan,1/01/1996,Atlanta,0,1,0,2,21458000,0.0046603,0.0093205,0.0000000,19754.06," 423,882,633,651 "
China,1/01/1996,Atlanta,16,22,12,104,1226134423,0.0040779,0.0084819,0.0013049,2546.44," 3,122,277,587,022 "
Morocco,1/01/1996,Atlanta,0,0,2,2,27323664,0.0073197,0.0073197,0.0000000,3112.23," 85,037,477,268 "
Thailand,1/01/1996,Atlanta,1,0,1,4,60258113,0.0033191,0.0066381,0.0016595,6001.24," 361,623,277,733 "
Mozambique,1/01/1996,Atlanta,0,0,1,1,16412893,0.0060928,0.0060928,0.0000000,435.93," 7,154,821,787 "
Uganda,1/01/1996,Atlanta,0,0,1,1,21473592,0.0046569,0.0046569,0.0000000,799.01," 17,157,586,210 "
Indonesia,1/01/1996,Atlanta,1,1,2,7,202257039,0.0019777,0.0034609,0.0004944,3026.82," 612,195,455,595 "
Philippines,1/01/1996,Atlanta,0,1,0,2,70831419,0.0014118,0.0028236,0.0000000,2464.68," 174,577,030,391 "
Mexico,1/01/1996,Atlanta,0,0,1,1,93858373,0.0010654,0.0010654,0.0000000,9274.70," 870,508,139,415 "
India,1/01/1996,Atlanta,0,0,1,1,982553253,0.0001018,0.0001018,0.0000000,1433.42," 1,408,409,486,477 "
Bahamas,1/01/2000,Sydney,1,1,0,5,297651,0.6719279,1.6798197,0.3359639,22728.41," 6,765,133,446 "
Australia,1/01/2000,Sydney,16,25,17,115,19164351,0.3026453,0.6000725,0.0834883,29241.51," 560,394,647,616 "
Cuba,1/01/2000,Sydney,11,11,7,62,11104313,0.2611598,0.5583416,0.0990606,6115.59," 67,909,469,314 "
Norway,1/01/2000,Sydney,4,3,3,21,4490859,0.2226745,0.4676166,0.0890698,43174.48," 193,890,507,315 "
Jamaica,1/01/2000,Sydney,0,4,3,11,2581648,0.2711446,0.4260844,0.0000000,6934.03," 17,901,220,753 "
Hungary,1/01/2000,Sydney,8,6,3,39,10210545,0.1664945,0.3819581,0.0783504,13592.35," 138,785,310,183 "
Barbados,1/01/2000,Sydney,0,0,1,1,267511,0.3738164,0.3738164,0.0000000,14982.12," 4,007,882,689 "
Netherlands,1/01/2000,Sydney,12,9,4,58,15862825,0.1576012,0.3656347,0.0756486,33000.17," 523,475,953,542 "
Estonia,1/01/2000,Sydney,1,0,2,5,1370749,0.2188584,0.3647641,0.0729528,11244.49," 15,413,368,264 "
Bulgaria,1/01/2000,Sydney,5,6,2,29,8006158,0.1623750,0.3622212,0.0624519,6907.01," 55,298,643,163 "
Iceland,1/01/2000,Sydney,0,0,1,1,281210,0.3556061,0.3556061,0.0000000,31092.03," 8,743,388,474 "
Slovenia,1/01/2000,Sydney,2,0,0,6,1985406,0.1007351,0.3022052,0.1007351,19399.69," 38,516,259,805 "
Sweden,1/01/2000,Sydney,4,5,3,25,8860153,0.1354378,0.2821622,0.0451459,28658.80," 253,921,393,062 "
Belarus,1/01/2000,Sydney,3,3,11,26,10057810,0.1690229,0.2585056,0.0298276,5936.24," 59,705,552,102 "
Lithuania,1/01/2000,Sydney,2,0,3,9,3500028,0.1428560,0.2571408,0.0571424,9631.65," 33,711,055,134 "
Latvia,1/01/2000,Sydney,1,1,1,6,2384972,0.1257876,0.2515753,0.0419292,8649.22," 20,628,158,031 "
Greece,1/01/2000,Sydney,4,6,3,27,10986883,0.1183229,0.2457476,0.0364071,20675.21," 227,156,106,067 "
Denmark,1/01/2000,Sydney,2,3,1,13,5339501,0.1123701,0.2434684,0.0374567,31805.54," 169,825,687,594 "
Romania,1/01/2000,Sydney,11,6,8,53,22191683,0.1126548,0.2388282,0.0495681,7089.83," 157,335,264,572 "
Switzerland,1/01/2000,Sydney,1,6,2,17,7167908,0.1255596,0.2371682,0.0139511,34386.90," 246,482,153,399 "
Trinidad and Tobago,1/01/2000,Sydney,0,1,1,3,1292058,0.1547918,0.2321877,0.0000000,10496.91," 13,562,611,206 "
Slovakia,1/01/2000,Sydney,1,3,1,10,5404845,0.0925096,0.1850192,0.0185019,12689.76," 68,586,184,480 "
Finland,1/01/2000,Sydney,2,1,1,9,5173370,0.0773190,0.1739678,0.0386595,27171.97," 140,570,634,337 "
Qatar,1/01/2000,Sydney,0,0,1,1,590957,0.1692170,0.1692170,0.0000000,60394.43," 35,690,512,616 "
New Zealand,1/01/2000,Sydney,1,0,3,6,3858032,0.1036798,0.1555197,0.0259200,21895.16," 84,472,212,410 "
Czech Republic,1/01/2000,Sydney,2,3,3,15,10242890,0.0781030,0.1464430,0.0195257,16823.24," 172,318,573,726 "
France,1/01/2000,Sydney,13,14,11,78,59047795,0.0643546,0.1320964,0.0220161,28636.15," 1,690,901,772,473 "
Georgia,1/01/2000,Sydney,0,0,6,6,4745765,0.1264285,0.1264285,0.0000000,2332.22," 11,068,182,069 "
Russia,1/01/2000,Sydney,32,28,28,180,146757517,0.0599629,0.1226513,0.0218047,8608.40," 1,263,347,006,862 "
Germany,1/01/2000,Sydney,13,17,26,99,82349027,0.0680032,0.1202200,0.0157865,29726.88," 2,447,979,541,961 "
Italy,1/01/2000,Sydney,13,8,13,68,56986329,0.0596634,0.1193269,0.0228125,27160.47," 1,547,775,389,846 "
South Korea,1/01/2000,Sydney,8,10,10,54,45987624,0.0608859,0.1174229,0.0173960,16995.92," 781,601,867,339 "
Kazakhstan,1/01/2000,Sydney,3,4,0,17,14956694,0.0468018,0.1136615,0.0200579,5366.02," 80,257,987,196 "
Britain,1/01/2000,Sydney,11,10,7,60,58874117,0.0475591,0.1019124,0.0186839,28644.71," 1,686,432,151,925 "
Austria,1/01/2000,Sydney,2,1,0,8,8004712,0.0374779,0.0999411,0.0249853,32008.50," 256,218,861,353 "
Croatia,1/01/2000,Sydney,1,0,1,4,4505533,0.0443899,0.0887797,0.0221949,10582.67," 47,680,560,656 "
Azerbaijan,1/01/2000,Sydney,2,0,1,7,8110723,0.0369881,0.0863055,0.0246587,2533.17," 20,545,841,429 "
Poland,1/01/2000,Sydney,6,5,3,31,38302444,0.0365512,0.0809348,0.0156648,11680.79," 447,402,843,769 "
Ukraine,1/01/2000,Sydney,3,10,10,39,48891792,0.0470427,0.0797680,0.0061360,3700.35," 180,916,787,656 "
Canada,1/01/2000,Sydney,3,3,8,23,30667365,0.0456511,0.0749983,0.0097824,32448.61," 995,113,294,152 "
Moldova,1/01/2000,Sydney,0,1,1,3,4106736,0.0487005,0.0730507,0.0000000,1692.09," 6,948,984,074 "
Belgium,1/01/2000,Sydney,0,2,3,7,10175684,0.0491367,0.0687914,0.0000000,29940.20," 304,662,061,912 "
United States,1/01/2000,Sydney,36,24,31,187,282496310,0.0322128,0.0661956,0.0127435,39758.50," 11,231,629,288,746 "
Uruguay,1/01/2000,Sydney,0,1,0,2,3319066,0.0301290,0.0602579,0.0000000,9092.32," 30,178,002,694 "
Ireland,1/01/2000,Sydney,0,1,0,2,3803780,0.0262896,0.0525793,0.0000000,30827.98," 117,262,841,740 "
Kuwait,1/01/2000,Sydney,0,0,1,1,1940786,0.0515255,0.0515255,0.0000000,36397.96," 70,640,651,042 "
Costa Rica,1/01/2000,Sydney,0,0,2,2,3919180,0.0510311,0.0510311,0.0000000,7672.85," 30,071,268,312 "
Macedonia,1/01/2000,Sydney,0,0,1,1,2009091,0.0497738,0.0497738,0.0000000,6975.62," 14,014,648,123 "
Spain,1/01/2000,Sydney,3,3,5,20,40288457,0.0273031,0.0496420,0.0074463,23410.16," 943,159,419,136 "
Kenya,1/01/2000,Sydney,2,3,2,14,31253701,0.0223973,0.0447947,0.0063992,1318.49," 41,207,688,200 "
Armenia,1/01/2000,Sydney,0,0,1,1,3076098,0.0325087,0.0325087,0.0000000,2114.06," 6,503,046,123 "
Japan,1/01/2000,Sydney,5,8,5,36,125720310,0.0143175,0.0286350,0.0039771,28559.60," 3,590,521,785,094 "
Uzbekistan,1/01/2000,Sydney,1,1,2,7,24775610,0.0161449,0.0282536,0.0040362,1635.22," 40,513,458,543 "
Taiwan,1/01/2000,Sydney,0,1,4,6,22183000,0.0225398,0.0270477,0.0000000,23525.50," 521,866,153,287 "
Algeria,1/01/2000,Sydney,1,1,3,8,30533827,0.0163753,0.0262004,0.0032751,5098.85," 155,687,512,632 "
Ethiopia,1/01/2000,Sydney,4,1,3,17,65577897,0.0121992,0.0259234,0.0060996,512.36," 33,599,590,125 "
Yugoslavia,1/01/2000,Sydney,1,1,1,6,23321566,0.0128636,0.0257273,0.0042879,-, - 
North Korea,1/01/2000,Sydney,0,1,3,5,22894095,0.0174718,0.0218397,0.0000000,1689.94," 38,689,699,426 "
Morocco,1/01/2000,Sydney,0,1,4,6,28793236,0.0173652,0.0208382,0.0000000,3073.43," 88,493,896,765 "
Turkey,1/01/2000,Sydney,3,2,0,13,63627862,0.0078582,0.0204313,0.0047149,6803.29," 432,878,595,035 "
Kyrgyzstan,1/01/2000,Sydney,0,0,1,1,4954850,0.0201822,0.0201822,0.0000000,1527.82," 7,570,130,366 "
Portugal,1/01/2000,Sydney,0,0,2,2,10336209,0.0193495,0.0193495,0.0000000,19609.73," 202,690,305,937 "
Cameroon,1/01/2000,Sydney,1,0,0,3,15678269,0.0063783,0.0191348,0.0063783,1803.44," 28,274,767,319 "
Israel,1/01/2000,Sydney,0,0,1,1,6014953,0.0166252,0.0166252,0.0000000,22834.93," 137,351,020,741 "
Mozambique,1/01/2000,Sydney,1,0,0,3,18200656,0.0054943,0.0164829,0.0054943,542.81," 9,879,468,754 "
Argentina,1/01/2000,Sydney,0,2,2,6,36930709,0.0108311,0.0162466,0.0000000,10571.36," 390,407,953,737 "
South Africa,1/01/2000,Sydney,0,2,3,7,44760380,0.0111706,0.0156388,0.0000000,7454.45," 333,663,822,955 "
Iran,1/01/2000,Sydney,3,0,1,10,65342319,0.0061216,0.0153040,0.0045912,8600.73," 561,991,888,003 "
Saudi Arabia,1/01/2000,Sydney,0,1,1,3,20045276,0.0099774,0.0149661,0.0000000,20001.87," 400,943,070,105 "
China,1/01/2000,Sydney,28,16,15,131,1269116737,0.0046489,0.0103221,0.0022063,3012.12," 3,822,736,947,333 "
Brazil,1/01/2000,Sydney,0,6,6,18,174425387,0.0068797,0.0103196,0.0000000,8056.06," 1,405,181,542,818 "
Mexico,1/01/2000,Sydney,1,2,3,10,99959594,0.0060024,0.0100040,0.0010004,10894.51," 1,089,011,243,988 "
Thailand,1/01/2000,Sydney,1,0,2,5,63155029,0.0047502,0.0079170,0.0015834,5578.40," 352,304,196,783 "
Colombia,1/01/2000,Sydney,1,0,0,3,39764166,0.0025148,0.0075445,0.0025148,5749.55," 228,626,140,633 "
Chile,1/01/2000,Sydney,0,0,1,1,15419820,0.0064852,0.0064852,0.0000000,10435.17," 160,908,509,155 "
Sri Lanka,1/01/2000,Sydney,0,0,1,1,18745084,0.0053347,0.0053347,0.0000000,2997.69," 56,191,937,639 "
Indonesia,1/01/2000,Sydney,1,3,2,11,213395411,0.0028117,0.0051548,0.0004686,2714.94," 579,356,570,242 "
Nigeria,1/01/2000,Sydney,0,3,0,6,123688536,0.0024254,0.0048509,0.0000000,1619.12," 200,266,057,879 "
Vietnam,1/01/2000,Sydney,0,1,0,2,78758010,0.0012697,0.0025394,0.0000000,1577.53," 124,243,263,469 "
India,1/01/2000,Sydney,0,0,1,1,1053898107,0.0000949,0.0000949,0.0000000,1648.21," 1,737,044,112,790 "
Bahamas,1/01/2004,Athens,1,0,1,4,314739,0.6354471,1.2708943,0.3177236,22747.53," 7,159,536,286 "
Australia,1/01/2004,Athens,17,16,16,99,20103822,0.2437347,0.4924437,0.0845610,32098.51," 645,302,654,103 "
Cuba,1/01/2004,Athens,9,7,11,52,11234970,0.2403211,0.4628406,0.0801070,6877.99," 77,273,967,013 "
Hungary,1/01/2004,Athens,8,6,3,39,10110393,0.1681438,0.3857417,0.0791265,16291.20," 164,710,413,719 "
Jamaica,1/01/2004,Athens,2,1,2,10,2664897,0.1876245,0.3752490,0.0750498,7093.44," 18,903,297,188 "
Norway,1/01/2004,Athens,5,0,1,16,4587046,0.1308031,0.3488084,0.1090026,46387.25," 212,780,442,792 "
Latvia,1/01/2004,Athens,0,4,0,8,2319229,0.1724711,0.3449422,0.0000000,11888.05," 27,571,120,197 "
New Zealand,1/01/2004,Athens,3,2,0,13,4079130,0.1225752,0.3186954,0.0735451,24339.44," 99,283,758,294 "
Greece,1/01/2004,Athens,6,6,4,34,11147261,0.1435330,0.3050077,0.0538249,24587.16," 274,079,497,812 "
Estonia,1/01/2004,Athens,0,1,2,4,1348449,0.2224778,0.2966371,0.0000000,15014.22," 20,245,905,916 "
Belarus,1/01/2004,Athens,2,6,7,25,9872110,0.1519432,0.2532387,0.0202591,7806.72," 77,068,842,472 "
Slovenia,1/01/2004,Athens,0,1,3,5,1997959,0.2002043,0.2502554,0.0000000,22113.22," 44,181,309,464 "
Netherlands,1/01/2004,Athens,4,9,9,39,16225091,0.1355925,0.2403685,0.0246532,34181.87," 554,603,970,841 "
Denmark,1/01/2004,Athens,2,0,6,12,5400280,0.1481405,0.2222107,0.0370351,32694.60," 176,560,002,427 "
Slovakia,1/01/2004,Athens,2,2,2,12,5411339,0.1108783,0.2217566,0.0369594,14977.87," 81,050,307,856 "
Georgia,1/01/2004,Athens,2,2,0,10,4519607,0.0885033,0.2212582,0.0442516,3167.15," 14,314,293,714 "
Bulgaria,1/01/2004,Athens,2,1,9,17,7789180,0.1540599,0.2182515,0.0256766,8721.23," 67,931,214,930 "
Lithuania,1/01/2004,Athens,1,2,0,7,3432060,0.0874111,0.2039591,0.0291370,13049.48," 44,786,591,993 "
Croatia,1/01/2004,Athens,1,2,2,9,4449522,0.1123716,0.2022689,0.0224743,12490.93," 55,578,686,885 "
Sweden,1/01/2004,Athens,4,2,1,17,8977965,0.0779687,0.1893525,0.0445535,31073.77," 278,979,223,189 "
Austria,1/01/2004,Athens,2,4,1,15,8185553,0.0855165,0.1832497,0.0244333,33455.69," 273,853,356,610 "
Romania,1/01/2004,Athens,8,5,6,40,21845264,0.0869754,0.1831060,0.0366212,8994.49," 196,487,004,649 "
South Korea,1/01/2004,Athens,9,12,9,60,46830699,0.0640605,0.1281211,0.0192182,20442.74," 957,347,843,581 "
Czech Republic,1/01/2004,Athens,1,3,4,13,10201665,0.0784186,0.1274302,0.0098023,19061.07," 194,454,631,244 "
Russia,1/01/2004,Athens,27,27,38,173,144306982,0.0637530,0.1198833,0.0187101,11104.68," 1,602,483,182,580 "
Germany,1/01/2004,Athens,13,16,20,91,82524343,0.0593764,0.1102705,0.0157529,30260.66," 2,497,241,200,517 "
Switzerland,1/01/2004,Athens,1,1,3,8,7361231,0.0679234,0.1086775,0.0135847,34864.09," 256,642,637,551 "
Italy,1/01/2004,Athens,10,11,11,63,58263782,0.0549226,0.1081289,0.0171633,27887.57," 1,624,835,499,873 "
France,1/01/2004,Athens,11,9,13,64,60596691,0.0544584,0.1056163,0.0181528,29505.88," 1,787,958,696,460 "
Ukraine,1/01/2004,Athens,9,5,9,46,47275250,0.0486512,0.0973025,0.0190374,5400.28," 255,299,820,576 "
Britain,1/01/2004,Athens,9,9,12,57,59891788,0.0500903,0.0951716,0.0150271,31097.52," 1,862,486,189,211 "
Kazakhstan,1/01/2004,Athens,1,4,3,14,15053492,0.0531438,0.0930017,0.0066430,7930.09," 119,375,471,920 "
Spain,1/01/2004,Athens,3,11,5,36,42732092,0.0444631,0.0842458,0.0070205,26357.05," 1,126,291,812,577 "
Azerbaijan,1/01/2004,Athens,1,0,4,7,8479668,0.0589646,0.0825504,0.0117929,3760.11," 31,884,446,935 "
United Arab Emirates,1/01/2004,Athens,1,0,0,3,3658042,0.0273370,0.0820111,0.0273370,32181.94," 117,722,886,700 "
Finland,1/01/2004,Athens,0,2,0,4,5226067,0.0382697,0.0765394,0.0000000,29651.40," 154,960,226,543 "
Trinidad and Tobago,1/01/2004,Athens,0,0,1,1,1310622,0.0762997,0.0762997,0.0000000,13978.56," 18,320,612,811 "
Canada,1/01/2004,Athens,3,6,3,24,31943605,0.0375662,0.0751324,0.0093916,34346.97," 1,097,165,899,277 "
United States,1/01/2004,Athens,36,39,27,213,294063120,0.0346864,0.0724334,0.0122423,40956.40," 12,043,767,161,888 "
Israel,1/01/2004,Athens,1,0,1,4,6471236,0.0309060,0.0618120,0.0154530,22930.28," 148,387,239,905 "
Japan,1/01/2004,Athens,16,9,12,78,126299414,0.0292955,0.0617580,0.0126683,29742.05," 3,756,402,997,348 "
Taiwan,1/01/2004,Athens,2,2,1,11,22622000,0.0221024,0.0486252,0.0088410,25332.32," 573,067,644,908 "
Belgium,1/01/2004,Athens,1,0,2,5,10356993,0.0289659,0.0482766,0.0096553,31600.02," 327,281,154,811 "
